tweet_id,retweet_count,favorite_count
892420643555336193,7688,36100
892177421306343426,5687,31142
891815181378084864,3770,23449
891689557279858688,7854,39385
891327558926688256,8460,37617
891087950875897856,2838,18950
890971913173991426,1845,11023
890729181411237888,17153,60820
890609185150312448,3906,26066
890240255349198849,6671,29814
890006608113172480,6658,28694
889880896479866881,4538,26095
889665388333682689,9099,44934
889638837579907072,4077,25289
889531135344209921,2053,14170
889278841981685760,4850,23575
888917238123831296,4090,27207
888804989199671297,3858,23919
888554962724278272,3168,18463
888078434458587136,3155,20378
887705289381826560,4901,28290
887517139158093824,10714,43382
887473957103951883,16359,64294
887343217045368832,9527,31483
887101392804085760,5427,28634
886983233522544640,6976,32655
886736880519319552,2928,11213
886680336477933568,4073,21022
886366144734445568,2883,19760
886267009285017600,4,111
886258384151887873,5749,26177
886054160059072513,100,0
885984800019947520,6114,30481
885528943205470208,5817,33624
885518971528720385,3400,19158
885311592912609280,16856,0
885167619883638784,3978,20479
884925521741709313,16455,72093
884876753390489601,5079,26032
884562892145688576,4280,22726
884441805382717440,5186,25344
884247878851493888,18488,67896
884162670584377345,2726,19087
883838122936631299,3129,20450
883482846933004288,8992,42857
883360690899218434,3368,21208
883117836046086144,6048,34708
882992080364220416,3545,22339
882762694511734784,4449,26437
882627270321602560,5529,26182
882268110199369728,10545,41919
882045870035918850,4453,27415
881906580714921986,3096,22771
881666595344535552,9723,47372
881633300179243008,7,117
881536004380872706,14539,46250
881268444196462592,4803,21737
880935762899988482,2541,15997
880872448815771648,3489,19917
880465832366813184,5664,26651
880221127280381952,3800,25228
880095782870896641,3954,25832
879862464715927552,3187,20944
879674319642796034,10,295
879492040517615616,2907,21985
879415818425184262,40516,98986
879376492567855104,2854,15732
879130579576475649,6196,0
879050749262655488,4283,21087
879008229531029506,2442,17805
878776093423087618,3729,18140
878604707211726852,6476,28207
878404777348136964,1179,0
878316110768087041,6082,0
878281511006478336,1179,7244
878057613040115712,6196,39426
877736472329191424,17296,74304
877611172832227328,73,0
877556246731214848,3477,21259
877316821321428993,4757,25678
877201837425926144,5097,25400
876838120628539392,3042,19403
876537666061221889,4284,22176
876484053909872640,2164,17599
876120275196170240,4269,26235
875747767867523072,3908,23608
875144289856114688,4491,20559
875097192612077568,5557,25747
875021211251597312,4326,23939
874680097055178752,4238,26107
874434818259525634,13312,0
874296783580663808,3765,24445
874057562936811520,3649,21337
874012996292530176,9391,32206
873580283840344065,3610,22766
873337748698140672,1462,0
873213775632977920,1462,6729
872967104147763200,4983,25634
872820683541237760,3419,13872
872620804844003328,3353,19504
872486979161796608,8313,38375
872122724285648897,7451,32299
871879754684805121,10115,35436
871762521631449091,3221,19048
871515927908634625,3208,19019
871166179821445120,5276,0
871102520638267392,5097,19727
871032628920680449,3535,21444
870804317367881728,5713,31751
870726314365509632,3,114
870656317836468226,2443,11658
870374049280663552,24494,78394
870308999962521604,3843,20698
870063196459192321,7694,34523
869772420881756160,9370,40245
869702957897576449,5847,26702
869596645499047938,2897,15094
869227993411051520,3506,19333
868880397819494401,13400,61906
868639477480148993,1933,0
868622495443632128,4923,25261
868552278524837888,1933,9543
867900495410671616,3892,22957
867774946302451713,6847,32210
867421006826221569,2320,15242
867072653475098625,112,0
867051520902168576,7347,30593
866720684873056260,4477,19023
866686824827068416,3260,18320
866450705531457537,32867,116164
866334964761202691,13312,49802
866094527597207552,7832,0
865718153858494464,5256,24396
865359393868664832,4688,25175
865006731092295680,7205,26676
864873206498414592,8135,30726
864279568663928832,2832,13875
864197398364647424,8306,28561
863907417377173506,3881,19631
863553081350529029,3929,14556
863471782782697472,2284,0
863432100342583297,4932,22679
863427515083354112,89,2103
863079547188785154,1043,8372
863062471531167744,2284,8068
862831371563274240,4844,18325
862722525377298433,3330,16332
862457590147678208,4643,19525
862096992088072192,21796,70963
861383897657036800,10092,34488
861288531465048066,3904,16420
861005113778896900,3600,15967
860981674716409858,2027,0
860924035999428608,755,0
860563773140209665,2027,7168
860524505164394496,5022,22647
860276583193509888,3318,17599
860184849394610176,5529,15993
860177593139703809,29282,0
859924526012018688,3885,18773
859851578198683649,3326,14796
859607811541651456,1486,17865
859196978902773760,28590,86269
859074603037188101,12943,32469
858860390427611136,7695,0
858843525470990336,3312,14992
858471635011153920,4622,20694
858107933456039936,2765,15147
857989990357356544,2476,15489
857746408056729600,10124,32996
857393404942143489,1571,5668
857263160327368704,4315,19340
857214891891077121,17,215
857062103051644929,162,0
857029823797047296,3805,18187
856543823941562368,2764,15770
856526610513747968,1799,11470
856330835276025856,644,0
856288084350160898,15,497
856282028240666624,6034,26849
855862651834028034,25,325
855860136149123072,936,4757
855857698524602368,2025,11497
855851453814013952,17309,44329
855818117272018944,5218,25837
855459453768019968,7906,28921
855245323840757760,5736,0
855138241867124737,43,0
854732716440526848,5849,22110
854482394044301312,6624,28468
854365224396361728,4531,18369
854120357044912130,7207,31148
854010172552949760,3052,15796
853760880890318849,5557,27835
853639147608842240,9719,33797
853299958564483072,3452,15110
852936405516943360,1935,0
852912242202992640,1760,8814
852672615818899456,2100,14553
852553447878664193,3377,15924
852311364735569921,9666,32412
852226086759018497,6659,19554
852189679701164033,1551,11209
851861385021730816,19,0
851591660324737024,3387,15927
851464819735769094,6882,23773
851224888060895234,5597,20274
850753642995093505,8908,30229
850380195714523136,2550,12857
850333567704068097,320,3393
850145622816686080,3707,16035
850019790995546112,4771,20044
849776966551130114,7430,29906
849668094696017920,4855,0
849412302885593088,3094,15605
849336543269576704,1863,11229
849051919805034497,8305,41676
848690551926992896,4238,24805
848324959059550208,4534,24333
848213670039564288,717,8055
848212111729840128,2982,16067
